Sample File;C:\PartyLab\SMPS\202205101400_SMPS.S80
Classifier Model;3080
DMA Model;3081
DMA Inner Radius(cm);0.00937
DMA Outer Radius(cm);0.01961
DMA Characteristic Length(cm);0.44369
CPC Model;3772
Reference Gas Viscosity (Pa*s);1.83245e-005
Reference Mean Free Path (m);6.73e-008
Reference Gas Temperature (K);296.15
Reference Gas Pressure (kPa);101.3
Channels/Decade;64
Multiple Charge Correction;TRUE
Nanoparticle Aggregate Mobility Analysis;FALSE
Diffusion Correction;TRUE
Gas Density;0.0012
Units;dw/dlogDp
Weight;Number
121;05/11/22;00:00:50;13.7;76.1;8.602669e-008;1.787709e-005;;0;0;0;0;0;0;0;0;0;0;0;12.6174;11.7386;21.8719;10.2017;46.0971;60.0444;23.3169;37.0684;55.6645;80.3551;48.2112;82.4384;69.8391;95.8379;115.73;155.324;101.439;123.517;169.365;170.633;183.31;203.671;248.913;189.001;266.533;230.314;297.459;290.471;333.52;280.272;298.15;381.427;378.587;417.539;412.77;385.924;418.594;469.656;402.106;537.689;439.982;416.963;517.609;472.33;412.225;486.273;473.354;462.178;521.902;540.458;449.467;482.204;519.77;484.778;450.145;483.302;422.254;438.259;418.09;411.094;403.81;354.692;399.801;318.684;339.564;310.527;247.381;214.319;247.127;203.578;252.785;165.247;142.186;143.193;128.451;103.666;80.3944;95.7912;77.8935;81.1397;58.141;88.905;60.6473;58.2811;49.8821;48.0979;53.9725;56.3028;85.4358;51.7953;43.3711;57.9926;28.9238;32.2327;35.2994;280;20;FALSE;1;None;5;1;1;1;10.9088;9617.8;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.0044;117.155;95.5897;105.545;1.88689;352.178;
122;05/11/22;00:05:50;13.7;76.1;8.600409e-008;1.787709e-005;;0;0;0;0;0;0;0;0;0;0;0;0;0;32.804;30.6018;46.4886;6.76218;22.9185;90.3124;49.0807;81.8115;68.7515;145.942;81.5452;113.609;86.1192;139.505;124.746;136.467;209.672;109.425;160.374;196.203;251.92;241.733;241.193;260.338;331.339;323.97;316.948;300.206;309.905;350.805;308.623;349.026;485.51;446.057;437.625;459.206;436.932;437.583;443.029;476.932;455.288;534.898;422.745;500.995;495.167;438.871;427.015;471.648;433.312;437.785;527.709;390.381;446.979;470.845;441.807;434.031;457.842;435.352;363.29;378.128;321.806;344.327;290.649;292.042;239.788;277.592;210.216;182.263;160.631;182.375;165.533;158.941;179.957;125.052;93.6638;141.063;70.5357;49.2115;90.9435;57.0914;57.744;62.3007;83.7892;60.6965;74.9439;49.6389;49.3324;22.9249;49.4119;44.5496;46.8474;28.1344;32.4952;280;20;FALSE;1;None;5;1;1;1;10.9116;9618.52;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;94.0731;116.668;94.7422;85.0526;1.90148;350.041;
123;05/11/22;00:10:50;13.6;76.2;8.586424e-008;1.787224e-005;;0;0;0;0;0;0;0;17.8428;0;0;0;12.6057;35.1846;10.9266;46.4625;68.9255;78.2369;23.4504;52.3181;54.8986;87.3574;47.5103;55.6543;82.0776;127.656;144.522;127.512;93.2171;149.772;203.203;168.859;209.986;195.006;210.335;248.257;208.236;227.681;248.354;278.164;315.127;340.416;316.062;337.408;315.265;371.085;385.319;466.365;392.021;450.633;414.711;518.742;442.255;453.089;484.934;481.031;463.567;458.742;485.302;524.626;481.597;500.225;461.032;501.571;430.31;425.774;409.138;440.183;469.413;382.792;469.483;388.117;375.676;330.7;357.083;306.899;292.184;331.668;234.236;242.639;198.368;259.578;201.513;149.463;181.621;160.808;106.476;103.043;139.45;102.816;59.0684;73.9187;78.0535;67.6456;51.5987;64.5176;83.3815;54.5818;53.9741;35.6956;44.3764;48.6872;39.5224;30.249;40.8248;52.5582;52.6307;280;20;FALSE;1;None;5;1;1;1;10.9261;9620.34;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;94.6674;116.527;94.3683;98.2172;1.91285;348.376;
124;05/11/22;00:15:50;13.6;76.0;8.609020e-008;1.787224e-005;;0;0;0;0;0;21.679;0;17.869;0;14.8544;0;12.6214;0;21.8783;51.0233;36.9404;52.0809;56.1876;42.3921;51.9594;50.4602;70.7401;41.084;68.9357;119.581;88.6783;93.9362;139.743;144.844;91.8417;157.363;157.606;228.6;249.637;263.22;233.032;228.474;305.123;271.363;342.732;335.679;301.269;352.026;470.251;350.708;341.478;377.629;365.69;448.893;413.946;430.285;442.168;482.848;440.678;501.984;469.676;489.955;467.678;476.577;457.224;475.235;505.947;430.538;409.692;464.567;436.995;445.08;476.623;359.91;394.999;412.231;387.281;339.925;421.764;333.647;281.915;332.408;275.469;236.696;201.072;207.631;193.165;192.599;141.43;152.893;148.614;93.0357;83.2683;117.147;74.5439;54.0925;90.6657;65.4107;71.8986;75.4863;51.2503;39.8115;52.0605;56.0494;35.075;37.6384;39.3954;45.0115;54.5291;38.5728;56.193;280;20;FALSE;1;None;5;1;1;1;10.8979;9613.18;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;95.0745;117.218;95.153;109.411;1.90514;344.259;
125;05/11/22;00:20:50;13.6;76.1;8.599967e-008;1.787224e-005;;0;0;0;0;0;0;0;0;16.2661;44.5392;0;25.2303;11.7366;10.9341;10.2001;27.5097;25.5692;39.5362;83.2072;34.2509;59.9121;33.6984;46.3329;67.6657;57.1165;80.2055;76.1359;133.371;187.14;129.949;141.713;160.918;122.279;190.385;218.625;247.933;303.373;217.124;278.713;335.108;337.754;344.831;372.394;368.166;329.251;376.052;352.128;412.41;412.605;425.048;378.684;461.305;416.905;429.284;481.154;450.377;437.212;508.067;420.28;489.493;439.952;452.773;498.924;465.644;447.295;393.401;475.899;416.692;473.549;408.106;419.636;386.85;379.345;375.156;323.941;299.24;257.303;277.744;212.864;237.486;146.822;232.609;164.236;156.779;162.729;102.702;128.09;79.5019;74.4135;81.4966;80.2059;84.9108;82.6875;70.0756;87.2569;61.7917;62.4119;79.7289;49.6758;53.2617;42.4076;71.7538;55.0634;67.2665;42.668;50.441;280;20;FALSE;1;None;5;1;1;1;10.9092;9616.05;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;97.3743;120.624;97.6104;94.7464;1.9093;338.013;
126;05/11/22;00:25:50;13.6;76.2;8.590933e-008;1.787224e-005;;0;0;0;0;0;0;0;0;0;0;27.491;0;23.462;10.9291;20.3912;46.2341;7.45489;15.2465;74.671;71.7017;74.1324;28.6998;64.4258;80.5438;74.7981;103.459;93.0422;84.6345;148.321;173.172;134.768;167.443;171.397;195.871;293.17;198.609;261.353;307.741;287.551;382.017;292.876;420.148;303.716;361.309;337.31;367.495;395.933;464.415;460.806;411.112;425.576;402.123;499.495;433.013;413.444;515.018;432.553;405.492;469.528;478.962;493.332;436.761;492.786;387.724;509.884;474.01;471.714;406.939;442.512;468.599;372.426;343.736;382.264;370.887;267.589;306.298;243.27;260.689;248.469;237.365;226.641;193.441;151.086;187.179;125.439;157.905;133.018;114.717;102.993;67.3308;72.7127;103.804;115.646;63.3091;58.459;76.6668;43.6984;73.6652;50.0393;70.1336;67.3179;65.1506;44.9458;50.2357;39.4694;34.9901;280;20;FALSE;1;None;5;1;1;1;10.9204;9618.91;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.8249;119.892;97.0288;88.1683;1.90776;344.067;
127;05/11/22;00:30:50;13.6;76.1;8.601098e-008;1.787224e-005;;0;33.5636;0;0;0;0;0;0;0;14.8474;0;25.2318;11.7373;10.9348;20.4014;52.144;36.8099;82.3352;42.696;57.8686;18.2359;48.7038;81.2755;83.9901;96.834;89.2909;159.5;77.4816;146.755;147.302;116.495;160.842;252.108;169.835;236.79;179.455;272.537;234.569;285.625;288.488;395.525;379.243;428.667;398.262;352.343;449.102;426.171;416.552;419.518;454.079;441.966;390.913;483.236;444.605;449.822;502.417;399.096;405.271;461.08;463.545;490.388;474.921;513.608;410.325;502.254;472.673;379.328;418.406;477.492;463.077;330.316;374.058;377.355;348.542;335.271;294.562;260.169;234.964;267.947;181.266;191.373;213.322;188.642;178.396;155.97;133.21;124.832;81.9682;79.2617;72.2742;59.4038;76.8307;102.584;87.353;70.2264;65.5266;63.6909;49.1166;50.0459;63.4481;48.2341;91.5207;65.9997;55.2951;61.2714;35.0022;280;20;FALSE;1;None;5;1;1;1;10.9078;9615.69;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;95.7451;119.241;95.9915;113.419;1.92368;346.372;
128;05/11/22;00:35:50;13.6;76.0;8.609020e-008;1.787224e-005;;0;0;0;0;23.9986;0;0;0;0;0;13.7598;25.2429;35.2268;10.9392;10.2047;41.6844;20.4835;31.5557;26.5145;50.1898;40.0338;34.0951;86.8953;51.5605;56.1312;133.475;80.525;111.297;148.899;175.789;86.6344;216.876;183.939;144.021;186.281;207.124;295.731;270.296;283.638;329.252;313.299;364.645;379.059;469.778;323.034;389.736;348.764;412.478;430.128;441.942;433.045;459.832;378.198;420.72;469.358;432.905;462.61;428.176;452.759;444.982;465.972;549.441;426.167;458.702;435.674;473.17;465.497;413.41;375.621;456.724;389.066;398.148;305.03;337.194;334.08;314.638;305.557;288.036;248.209;209.397;195.665;172.337;145.359;174.033;116.354;121.227;85.9762;104.62;96.909;32.2568;53.8506;93.8415;80.2806;77.9136;64.1444;54.229;58.3905;50.5208;78.4821;38.9178;51.6763;71.199;68.5453;32.2796;61.0092;43.3864;280;20;FALSE;1;None;5;1;1;1;10.8979;9613.18;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.4852;118.997;96.5529;109.411;1.89894;336.576;
129;05/11/22;00:40:50;13.6;76.0;8.605623e-008;1.787224e-005;;38.2118;0;0;0;0;0;19.656;0;0;0;27.5142;25.2381;35.2204;32.8118;10.203;8.2906;42.6855;22.9995;43.965;48.679;86.6991;49.814;103.11;97.4757;47.2716;92.578;124.351;120.658;174.956;150.311;122.645;106.076;227.379;127.188;161.684;249.277;232.612;250.673;275.21;309.023;290.777;320.611;326.928;366.824;410.072;414.004;416.791;345.565;431.531;409.839;508.832;382.179;430.082;430.267;438.865;448.152;376.934;417.608;471.665;449.97;460.471;436.709;422.28;491.506;486.097;411.356;455.755;439.337;426.603;356.544;376.028;343.692;366.289;326.237;337.713;245.827;346.496;288.052;250.363;215.722;241.072;180.731;198.524;118.601;132.584;118.258;101.06;97.5071;88.6715;70.9389;81.6912;83.9867;96.5116;77.647;46.8204;61.2192;77.5868;91.6912;55.6811;44.5976;55.5896;59.2982;81.521;59.5985;49.6405;39.8545;280;20;FALSE;1;None;5;1;1;1;10.9021;9614.26;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;97.1759;120.632;96.8538;73.6525;1.93828;335.093;
130;05/11/22;00:45:51;13.6;76.1;8.596577e-008;1.787224e-005;;0;0;0;0;0;0;0;0;16.2626;0;0;0;23.469;21.8645;10.1984;46.8432;15.9388;23.8338;21.215;70.6668;80.1187;82.9687;74.9147;94.3946;75.9006;58.9115;123.367;71.6948;126.219;94.2779;109.598;165.792;231.989;205.608;187.619;183.052;250.794;293.653;231.393;302.044;347.865;391.036;358.835;345.684;395.698;403.104;386.377;394.114;376.521;346.843;382.649;365.788;462.855;442.74;421.227;430.224;423.897;452.371;456.845;425.575;499.359;461.209;504.266;452.798;418.309;463.152;416.605;428.75;395.259;381.406;394.879;372.057;358.563;363.107;280.898;301.337;224.35;210.3;301.104;251.669;163.655;212.591;181.552;176.952;134.451;168.983;144.494;113.716;80.4729;87.7759;49.1221;105.053;81.7176;83.3888;84.3553;33.2668;64.6165;68.3272;63.3361;76.2094;55.8014;33.7492;63.0411;40.8903;45.8315;67.4876;280;20;FALSE;1;None;5;1;1;1;10.9134;9617.12;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;98.1072;121.592;98.1663;113.419;1.91526;332.267;
131;05/11/22;00:50:51;13.6;76.1;8.595448e-008;1.787224e-005;;0;0;0;0;0;0;0;0;0;14.8424;13.7491;12.612;11.7338;10.9316;0;17.7643;30.9733;42.3662;37.2127;57.2394;38.5971;46.7657;50.4736;30.6531;72.2573;96.1484;135.221;109.337;115.411;95.7052;148.55;172.39;198.503;225.298;184.545;237.124;228.854;201.117;226.274;312.27;305.692;291.355;289.624;348.504;395.132;382.715;393.815;403.759;441.728;404.57;449.762;456.175;494.013;426.636;531.452;450.035;570.659;493.592;453.462;480.459;518.371;511.87;490.223;509.065;502.731;443.448;425.491;463.118;518.589;414.261;376.483;402.647;307.127;316.854;378.615;297.465;220.901;282.158;223.003;190.343;201.062;182.157;193.252;194.124;174.539;134.579;132.803;82.554;92.1327;109.369;59.9245;100.783;93.4377;97.2955;78.9891;89.0559;67.5211;53.9259;44.5684;57.6739;28.8506;55.2763;50.903;40.8022;53.0987;32.7901;280;20;FALSE;1;None;5;1;1;1;10.9148;9617.48;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;98.5239;121.05;99.0615;91.3982;1.87566;342.692;
132;05/11/22;00:55:51;13.6;76.1;8.599967e-008;1.787224e-005;;0;0;0;0;0;0;0;0;0;0;0;0;0;32.8024;45.8796;60.4712;43.4594;31.4181;92.551;26.6899;53.9441;59.4861;54.733;108.698;79.716;110.52;72.025;118.704;113.284;137.459;94.8332;188.377;192.562;194.915;241.379;261.273;239.336;242.378;253.778;301.117;340.699;323.933;325.194;417.855;357.351;448.324;422.257;398.828;480.856;511.689;429.18;505.579;455.518;483.227;487.976;448.162;572.032;466.447;543.892;398.205;449.631;461.205;454.013;502.565;458.979;458.679;470.015;427.936;392.354;398.96;360.815;379.094;394.936;393.272;278.434;288.525;306.343;263.121;280.614;245.393;287.414;239.349;139.981;187.284;177.958;136.654;110.924;104.733;102.183;100.663;68.8759;83.1128;95.6333;58.5732;72.6266;60.9011;69.3845;67.4499;64.1272;38.8439;68.4511;55.9998;43.7006;22.9667;29.0404;54.6972;280;20;FALSE;1;None;5;1;1;1;10.9092;9616.05;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;95.8298;119.45;97.1707;91.3982;1.89582;351.178;
133;05/11/22;01:00:51;13.6;76.1;8.598837e-008;1.787224e-005;;38.189;0;0;0;0;0;0;17.8572;0;14.8454;27.5035;12.6143;11.7359;43.734;25.5291;28.1929;55.7367;47.5248;44.2567;63.4134;66.8605;42.6652;63.7241;54.1552;71.5444;104.234;80.996;155.397;159.018;154.213;146.564;139.924;199.634;170.814;198.677;236.584;211.801;259.984;301.402;298.272;428.879;342.068;316.317;330.531;389.194;407.974;355.427;472.528;514.574;401.378;505.738;426.557;508.632;496.533;452.313;493.177;491.699;508.74;459.333;432.448;548.481;500.55;501.376;482.881;508.332;452.174;476.013;486.527;464.853;429.075;363.84;392.09;370.949;292.118;395.109;340.457;323.694;298.081;252.148;204.504;237.576;176.098;173.32;194.729;135.448;145.278;141.648;105.756;73.1071;97.2869;62.9095;94.7826;83.2099;86.7862;64.3723;64.2436;63.3085;51.1968;49.0733;44.9265;41.7721;52.7836;61.822;67.2886;38.5753;25.4339;280;20;FALSE;1;None;5;1;1;1;10.9106;9616.41;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.5507;118.739;96.4694;105.545;1.90762;356.213;
134;05/11/22;01:05:51;13.6;76.1;8.594319e-008;1.787224e-005;;0;0;0;0;0;0;0;0;0;0;27.4963;25.2224;11.7331;21.862;10.1973;27.1926;25.6189;22.9638;37.0477;33.1495;24.2456;15.7837;38.8862;101.435;73.2436;103.322;71.659;123.114;123.639;180.399;160.532;152.191;180.02;192.349;178.519;270.113;292.164;239.787;283.524;345.418;328.363;296.104;412.556;356.288;344.391;346.367;428.092;474.43;457.858;465.308;471;382.047;413.548;497.939;552.656;424.141;485.308;479.66;448.569;524.163;515.421;428.842;451.39;478.288;407.59;408.278;439.787;437.12;463.438;435.137;357.667;385.889;386.221;434.343;366.83;308.7;285.48;317.318;287.882;258.893;239.86;190.18;140.739;177.165;172.026;121.636;176.72;97.9001;87.1475;80.3459;50.6839;93.731;80.8268;68.3362;56.276;67.7369;53.2911;43.7515;35.7479;40.8698;38.8277;28.9237;28.1514;40.8891;48.719;49.4138;280;20;FALSE;1;None;5;1;1;1;10.9162;9617.84;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.9871;118.848;97.5745;85.0526;1.86985;346.032;
135;05/11/22;01:10:51;13.5;76.1;8.596134e-008;1.786739e-005;;0;0;0;0;0;0;0;0;16.2616;14.8425;0;12.6121;0;43.7268;20.3959;27.556;60.5592;0;20.1385;26.6488;86.3342;74.3491;50.0162;107.321;101.983;76.3213;121.286;179.204;180.313;137.884;150.44;187.089;219.988;166.015;253.287;278.715;209.239;239.701;206.94;256.228;340.112;344.491;424.962;429.011;375.17;409.535;452.806;413.23;469.124;440.819;420.333;442.773;438.484;420.641;510.742;507.282;462.52;506.921;416.02;441.133;494.5;490.255;455.219;551.115;488.307;428.764;466.867;524.984;470.416;492.185;431.214;397.632;398.923;417.956;377.124;300.35;296.153;311.081;247.267;250.941;250.009;218.404;171.582;158.812;117.241;115.908;89.867;116.106;132.053;86.5551;83.6781;77.2452;103.366;75.9986;49.9855;47.6526;52.0237;63.988;45.7679;67.5284;41.5567;51.2638;44.586;28.9275;21.1759;52.6445;280;20;FALSE;1;None;5;1;1;1;10.911;9614.65;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;97.2378;118.541;96.8225;117.574;1.88962;356.979;
136;05/11/22;01:15:51;13.5;76.0;8.604051e-008;1.786739e-005;;0;0;0;0;0;0;0;0;16.2697;0;13.7554;25.2352;11.7388;21.8722;15.097;22.497;25.1148;56.3724;57.7023;19.5179;40.2711;33.372;59.665;88.753;66.4402;113.439;105.282;127.98;180.576;126.635;150.488;163.296;186.379;206.782;280.052;248.133;216.044;215.458;328.993;342.522;328.173;331.786;362.173;368.079;458.962;397.632;454.673;474.198;437.734;411.76;466.491;487.546;460.14;519.449;496.321;506.759;556.86;577.652;422.199;496.218;553.116;551.153;429.95;476.952;539.28;458.852;419.687;535.288;476.685;461.065;371.829;393.438;403.427;403.94;379.188;374.701;341.925;357.855;317.844;258.478;257.514;201.67;162.62;234.221;263.923;117.13;144.978;104.018;111.434;87.1555;97.1703;80.1637;94.9482;89.1484;38.0407;52.6312;58.6287;33.7689;40.0483;58.0191;62.969;51.0688;37.8199;23.0028;31.3232;39.8536;280;20;FALSE;1;None;5;1;1;1;10.9011;9612.15;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;97.8807;119.68;98.2537;94.7464;1.87608;369.663;
137;05/11/22;01:20:51;13.6;76.1;8.598837e-008;1.787224e-005;;0;0;0;0;0;0;0;0;0;0;27.5035;0;11.7359;43.734;10.1996;18.2085;67.0509;24.1723;60.2426;53.2888;6.7993;87.0163;66.1161;69.0612;86.5055;63.2032;100.724;202.799;148.9;134.742;130.138;154.456;176.503;177.953;213.997;204.21;313.569;232.366;283.339;316.575;319.867;390.92;331.186;437.102;356.726;334.461;394.377;392.308;469.542;412.632;399.177;479.694;462.67;474.698;525.024;537.861;529.466;487.379;503.892;543.309;523.427;557.945;509.708;443.983;480.343;482.059;444.399;470.723;451.751;434.995;410.02;354.841;405.954;342.631;375.293;378.681;326.349;324.192;301.731;261.958;254.773;241.203;187.842;194.442;168.974;131.531;151.333;161.044;90.8329;80.3356;46.8733;74.6319;54.0277;54.1052;58.5447;75.4006;54.1668;38.5593;47.701;51.6107;38.7521;39.5287;26.8923;40.8915;24.3609;50.4403;280;20;FALSE;1;None;5;1;1;1;10.9106;9616.41;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;98.3994;118.931;97.7793;109.411;1.87309;359.175;
138;05/11/22;01:25:51;13.6;76.1;8.595448e-008;1.787224e-005;;0;33.5476;0;0;0;0;0;0;0;0;0;12.612;23.4676;21.8632;20.3957;17.6681;33.9531;47.8299;35.2563;80.2771;51.5946;32.5059;55.5495;114.745;99.9443;103.328;110.326;136.65;134.858;127.374;193.212;211.893;170.827;181.228;289.278;260.774;251.533;265.893;278.35;300.349;366.862;348.273;378.456;373.482;357.715;393.768;451.962;479.857;406.562;416.788;471.915;503.186;541.272;581.75;476.268;480.202;498.884;472.869;462.71;490.878;510.423;549.493;513.651;562.996;394.828;469.265;448.742;489.249;561.921;416.352;413.422;450.519;435.003;341.504;327.026;381.503;315.04;321.898;311.159;282.295;230.028;237.539;188.132;161.41;182.114;144.209;146.107;123.188;98.3459;92.4583;81.2065;68.9647;83.6835;86.0284;84.6022;64.7623;58.8991;57.4126;53.5263;63.7576;55.4889;26.3513;33.6139;6.81495;27.8398;36.3197;280;20;FALSE;1;None;5;1;1;1;10.9148;9617.48;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;97.4195;118.487;97.0593;82.047;1.88562;369.372;
139;05/11/22;01:30:51;13.6;76.1;8.601098e-008;1.787224e-005;;0;0;0;0.879194;23.1923;0;0;0;16.2672;14.8474;13.7535;12.6159;23.4747;54.6738;30.6021;0;24.7413;31.9802;56.6492;59.2415;72.3135;83.2561;81.5268;71.2578;115.425;86.935;130.56;84.9613;148.046;162.444;138.473;206.946;213.111;201.566;181.522;260.867;196.611;297.054;298.532;356.757;288.979;366.718;418.508;400.408;351.45;461.43;418.969;434.627;438.288;502.827;478.935;499.098;506.57;414.811;455.835;529.468;513.983;466.471;459.966;473.182;518.429;464.464;435.65;395.409;565.553;558.3;474.139;519.908;466.38;481.718;515.344;447.246;397.411;351.394;407.551;378.505;377.915;305.03;295.358;268.914;263.996;222.665;213.146;168.227;161.27;153.59;137.352;112.605;109.717;57.8109;63.4362;75.5627;79.2992;73.2309;78.7612;72.0273;48.5264;47.7562;60.8157;46.8705;23.5725;29.6474;37.8252;39.1452;46.1506;24.709;280;20;FALSE;1;None;5;1;1;1;10.9078;9615.69;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;97.6614;118.298;96.8331;121.881;1.89233;370.374;
140;05/11/22;01:35:51;13.6;76.0;8.610153e-008;1.787224e-005;;0;0;0;0;0;0;0;0;0;0;13.7607;12.6222;23.4859;0;20.4105;46.8839;43.103;22.8894;42.6527;56.081;38.3929;37.3392;69.6719;62.1585;133.455;58.1453;98.5541;127.86;129.193;152.563;151.579;165.998;212.912;191.73;239.296;278.346;249.173;229.038;283.881;331.451;390.55;357.505;418.473;416.587;387.719;381.079;400.835;521.073;474.988;457.742;423.516;488.022;473.302;477.59;474.58;562.444;520.823;480.896;537.019;543.874;572.792;592.576;552.387;560.468;505.606;526.715;483.004;449.211;497.482;463.105;383.478;419.614;365.778;403.983;362.474;334.243;335.93;322.736;363.047;294.841;243.331;208.39;247.227;217.002;202.026;138.069;164.57;132.853;124.862;63.5331;92.0754;69.2731;60.3991;85.8085;48.4336;60.6914;49.9241;30.7015;37.5388;54.2076;73.7221;38.8263;38.2916;33.1789;39.2083;36.3265;280;20;FALSE;1;None;5;1;1;1;10.8965;9612.82;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;99.2147;119.423;98.3637;109.411;1.86492;376.425;
141;05/11/22;01:40:51;13.6;76.1;8.599967e-008;1.787224e-005;;38.1928;0;0;0;0;0;0;0;0;0;0;0;0;0;20.4003;27.5769;16.1806;31.9457;84.1532;70.6845;39.3295;89.2775;64.2515;51.0415;110.655;75.1875;107.086;87.3564;139.122;85.4682;184.176;138.633;179.247;187.728;231.588;234.516;310.922;235.212;296.636;296.988;382.596;280.091;354.805;449.355;410.305;444.285;416.988;428.138;443.235;474.245;452.069;516.33;449.095;493.195;535.537;554.137;564.998;461.758;565.785;518.006;469.087;585.6;525.859;554.623;544.429;593.204;517.15;484.919;507.722;520.304;421.311;447.799;387.459;418.619;383.321;327.874;362.642;308.214;260.152;259.3;287.643;211.45;244.856;230.112;211.237;163.806;101.687;114.838;105.874;98.2849;84.0004;78.2772;101.021;58.2978;63.0792;49.2575;45.9344;44.6081;72.3559;54.8058;38.7527;31.6887;39.1052;40.0307;59.163;46.9112;280;20;FALSE;1;None;5;1;1;1;10.9092;9616.05;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;99.9043;120.57;99.3169;126.346;1.86616;377.893;
142;05/11/22;01:45:51;13.6;76.1;8.599967e-008;1.787224e-005;;0;0;0;0;0;0;0;35.717;0;0;0;12.6151;11.7366;0;10.2001;46.2186;43.3766;56.1863;45.3152;34.007;65.9843;79.0308;127.784;73.0579;86.5832;106.123;77.6236;138.826;105.086;140.406;181.335;201.801;231.731;248.496;169.045;229.959;258.492;238.371;269.77;328.588;322.351;412.379;348.77;419.544;423.586;499.671;444.61;446.676;440.839;490.713;524.21;521.772;589.848;478.472;542.465;550.952;599.292;432.037;556.133;484.305;535.542;576.145;539.87;467.653;554.478;542.958;549.181;532.385;481.537;514.911;445.528;529.373;364.441;446.927;392.145;329.292;373.279;317.283;287.383;338.99;288.646;285.512;211.44;193.97;198.708;160.067;125.672;106.636;146.2;98.1239;75.9441;70.3855;61.51;75.2759;58.0322;47.4336;44.6563;45.1523;21.8947;47.8239;38.2273;30.1828;16.8079;40.8921;48.7225;28.2385;280;20;FALSE;1;None;5;1;1;1;10.9092;9616.05;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;98.3383;118.012;97.59;91.3982;1.86021;388.555;
